; Generated by g3DTZ v2.1 - by guard3
;	A	B	C	D	E	F	G	H	I	J	K
brassknuckle,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
butt_knife,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
golfclub,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
nitestick,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
knifecur,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
bat,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
handaxe,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
gaff,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
machete,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
katana,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
chnsaw,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
grenade,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
teargas,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
molotov,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
beretta,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
python,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
ak47,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
chromegun,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
shotgspa,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
buddyshot,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
M16,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
skorpion,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
uzi,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
ingramsl,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
mplng,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
sniper,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
laser,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
rocketla,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
flame,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
m249,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
minigun,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
bomb,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
camera,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
minigun2,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
landmine,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	3,	0,	0,	0,	0
Columbiangate,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
bar_barrier12,	500.0,	5000.0,	0.99,	0.05,	50.0,	350.0,	1.0,	1,	4,	0,	0,	0
lhouse_barrier1,	250.0,	1500.0,	0.99,	0.05,	50.0,	350.0,	1.0,	1,	4,	0,	0,	0
bar_barrier10,	500.0,	5000.0,	0.99,	0.05,	50.0,	350.0,	1.0,	1,	4,	0,	0,	0
briefcase,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
fire_hydrant,	150.0,	50.0,	0.99,	0.03,	50.0,	100.0,	1.0,	1,	0,	0,	0,	0
money,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
bollardlight,	150.0,	50.0,	0.99,	0.03,	50.0,	100.0,	1.0,	0,	0,	0,	0,	0
barrel2,	250.0,	150.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
barrel1,	50.0,	50.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
cardboardbox2,	20.0,	20.0,	0.99,	0.03,	50.0,	0.05,	4.0,	3,	2,	0,	0,	2
cardboardbox4,	40.0,	80.0,	0.99,	0.04,	50.0,	0.05,	2.5,	3,	2,	0,	0,	2
barrel3,	100.0,	100.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
woodenbox,	250.0,	250.0,	0.99,	0.04,	50.0,	0.05,	1.5,	3,	0,	1,	0,	2
barrel4,	100.0,	100.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
lamppost3,	700.0,	6000.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
bin1,	200.0,	140.0,	0.99,	0.05,	50.0,	100.0,	1.0,	1,	0,	0,	0,	0
dump1,	900.0,	900.0,	0.99,	0.05,	50.0,	0.05,	1.0,	1,	0,	0,	0,	0
roadworkbarrier1,	30.0,	50.0,	0.99,	0.04,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
cardboardbox,	10.0,	10.0,	0.99,	0.03,	50.0,	0.05,	2.5,	3,	2,	0,	0,	2
Streetlamp2,	600.0,	4000.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
Streetlamp1,	600.0,	4000.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
noparkingsign1,	30.0,	50.0,	0.99,	0.05,	50.0,	100.0,	1.0,	0,	1,	0,	0,	0
phonesign,	30.0,	50.0,	0.99,	0.05,	50.0,	100.0,	1.0,	0,	1,	0,	0,	0
wastebin,	10.0,	10.0,	0.97,	0.1,	120.0,	0.05,	1.0,	1,	0,	0,	0,	0
trafficcone,	25.0,	50.0,	0.99,	0.03,	50.0,	10.0,	2.0,	3,	2,	0,	0,	1
info,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
health,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
adrenaline,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
bodyarmour,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
petrolpump,	250.0,	350.0,	0.99,	0.05,	50.0,	120.0,	1.0,	0,	0,	0,	0,	0
bribe,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
bonus,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
faketarget,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
smashbar,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	3,	0,	0,	0,	4
camerapickup,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
killfrenzy,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
parkingmeterg,	30.0,	50.0,	0.99,	0.05,	50.0,	100.0,	1.0,	0,	1,	0,	0,	0
gunbox,	20.0,	20.0,	0.99,	0.03,	50.0,	0.05,	99.9,	0,	2,	0,	0,	0
property_fsale,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
clothesp,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
pickupsave,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
postbox1,	200.0,	150.0,	0.99,	0.03,	50.0,	100.0,	1.0,	1,	0,	0,	0,	0
parkbench1,	50.0,	100.0,	0.99,	0.05,	50.0,	5.0,	1.0,	1,	0,	0,	0,	0
papermachn01,	50.0,	50.0,	0.99,	0.04,	50.0,	0.05,	1.0,	1,	0,	0,	0,	0
lamppost2,	1250.0,	12500.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
Barrierm,	30.0,	50.0,	0.99,	0.04,	50.0,	0.05,	0.5,	3,	4,	0,	0,	1
newstandnew1,	50.0,	100.0,	0.99,	0.05,	50.0,	1000.0,	2.0,	3,	1,	0,	0,	5
newstandnew4,	50.0,	100.0,	0.99,	0.05,	50.0,	1000.0,	2.0,	3,	1,	0,	0,	5
newstandnew3,	50.0,	100.0,	0.99,	0.05,	50.0,	1000.0,	2.0,	3,	1,	0,	0,	5
newstandnew5,	50.0,	100.0,	0.99,	0.05,	50.0,	1000.0,	2.0,	3,	1,	0,	0,	5
newstandnew2,	50.0,	100.0,	0.99,	0.05,	50.0,	1000.0,	2.0,	3,	1,	0,	0,	5
lamppost1,	600.0,	4000.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
doublestreetlght1,	700.0,	7000.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
MTraffic1,	1500.0,	12000.0,	0.99,	0.05,	50.0,	280.0,	1.0,	1,	1,	0,	6,	6
mlamppost,	600.0,	4000.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
MTraffic2,	1500.0,	12000.0,	0.99,	0.05,	50.0,	280.0,	1.0,	1,	1,	0,	6,	6
parkingmeter,	60.0,	100.0,	0.99,	0.05,	50.0,	100.0,	1.0,	0,	2,	0,	0,	0
bouy,	1250.0,	2500.0,	0.99,	0.05,	35.75,	0.0,	1.0,	0,	0,	0,	0,	0
trashcan,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
keycard,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
pizzabox,	10.0,	10.0,	0.99,	0.03,	50.0,	0.05,	2.0,	3,	2,	0,	0,	2
tar_gun1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	5.0,	3,	0,	0,	0,	2
tar_civ1,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	5.0,	3,	0,	0,	0,	2
plc_stinger,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
