# Generated by g3DTZ v2.1 - by guard3
#	A	B	C	D	E	F	G	H	I	J	K	L	M	N	P	R	S	T	U	V	W	X	Y	Z	a	b
Unarmed	MELEE	10.0	250	100	1000	8	-1.0	0.6	-1.0	-1.0	0.1	0.65	0.3	unarmed	0	99	6	0	99	12	99	-1	-1	1020C0	0
BrassKnuckle	MELEE	10.0	450	100	1000	16	-1.0	0.8	-1.0	-1.0	0.1	0.8	0.3	unarmed	5	20	14	3	17	11	99	331	-1	1020C0	0
ScrewDriver	MELEE	10.0	250	100	1000	45	-1.0	0.5	-1.0	-1.0	0.0	0.7	0.2	screwdrv	5	99	14	3	17	11	99	332	-1	1150C0	1
GolfClub	MELEE	10.0	450	100	1000	21	-1.0	0.8	-1.0	-1.0	0.1	0.8	0.3	baseball	5	20	16	3	15	12	99	333	-1	1020C0	1
NightStick	MELEE	10.0	450	100	1000	21	-1.0	0.8	-1.0	-1.0	0.1	0.8	0.3	baseball	5	20	14	3	17	11	99	334	-1	1020C0	1
Knife	MELEE	10.0	250	100	1000	21	-1.0	0.5	-1.0	-1.0	0.0	0.8	0.2	knife	5	99	14	3	17	11	99	335	-1	1150C0	1
BaseballBat	MELEE	10.0	450	100	1000	21	-1.0	0.8	-1.0	-1.0	0.1	0.8	0.3	baseball	5	20	16	3	17	11	99	336	-1	1020C0	1
Hammer	MELEE	10.0	450	100	1000	21	-1.0	0.8	-1.0	-1.0	0.1	0.8	0.3	baseball	5	20	14	3	17	16	99	337	-1	1020C0	1
Cleaver	MELEE	10.0	250	100	1000	24	-1.0	0.6	-1.0	-1.0	0.0	0.9	0.2	knife	5	99	14	3	17	11	99	338	-1	1150C0	1
Machete	MELEE	10.0	250	100	1000	24	-1.0	0.6	-1.0	-1.0	0.0	1.0	0.2	knife	5	99	14	3	17	11	99	339	-1	1150C0	1
Katana	MELEE	10.0	250	100	1000	30	-1.0	0.7	-1.0	-1.0	0.0	1.2	0.3	knife	5	99	12	3	17	11	99	340	-1	1150C0	1
Chainsaw	MELEE	4.0	899	100	1000	35	-1.0	0.55	-1.0	-1.0	0.0	1.3	0.1	chainsaw	5	35	30	3	99	48	99	341	-1	1020C0	1
Grenade	PROJECTILE	30.0	100	1	1	75	0.25	-1.0	800.0	1.0	0.0	0.0	0.0	grenade	0	99	10	0	99	6	99	342	-1	2424	2
DetonateGrenade	PROJECTILE	30.0	100	1	1	75	0.25	-1.0	800.0	1.0	0.0	0.0	0.0	grenade	0	99	10	0	99	6	99	342	363	2424	2
LandMine	PROJECTILE	30.0	100	1	1	75	0.25	-1.0	800.0	1.0	0.0	0.0	0.0	grenade	0	99	10	0	99	6	99	368	-1	2424	2
