; 
;	A	B	C	D	E	F	G	H	I	J	K
BRASSKNUCKLE,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
BUTT_KNIFE,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
GOLFCLUB,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
NITESTICK,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
KNIFECUR,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
BAT,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
HANDAXE,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
GAFF,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
MACHETE,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
KATANA,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
CHNSAW,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
GRENADE,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
TEARGAS,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
MOLOTOV,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
BERETTA,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
PYTHON,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
AK47,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
CHROMEGUN,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
SHOTGSPA,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
BUDDYSHOT,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
M16,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
SKORPION,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
UZI,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
INGRAMSL,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
MPLNG,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
SNIPER,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
LASER,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
ROCKETLA,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
FLAME,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
M249,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
MINIGUN,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
BOMB,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
CAMERA,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
MINIGUN2,	1250.0,	2500.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
LANDMINE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	3,	0,	0,	0,	0
COLUMBIANGATE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	4,	0,	0,	0
BAR_BARRIER12,	500.0,	5000.0,	0.99,	0.05,	50.0,	350.0,	1.0,	1,	4,	0,	0,	0
LHOUSE_BARRIER1,	250.0,	1500.0,	0.99,	0.05,	50.0,	350.0,	1.0,	1,	4,	0,	0,	0
BAR_BARRIER10,	500.0,	5000.0,	0.99,	0.05,	50.0,	350.0,	1.0,	1,	4,	0,	0,	0
BRIEFCASE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
FIRE_HYDRANT,	150.0,	50.0,	0.99,	0.03,	50.0,	100.0,	1.0,	1,	0,	0,	0,	0
MONEY,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
BOLLARDLIGHT,	150.0,	50.0,	0.99,	0.03,	50.0,	100.0,	1.0,	0,	0,	0,	0,	0
BARREL2,	250.0,	150.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
BARREL1,	50.0,	50.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
CARDBOARDBOX2,	20.0,	20.0,	0.99,	0.03,	50.0,	0.05,	4.0,	3,	2,	0,	0,	2
CARDBOARDBOX4,	40.0,	80.0,	0.99,	0.04,	50.0,	0.05,	2.5,	3,	2,	0,	0,	2
BARREL3,	100.0,	100.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
WOODENBOX,	250.0,	250.0,	0.99,	0.04,	50.0,	0.05,	1.5,	3,	0,	1,	0,	2
BARREL4,	100.0,	100.0,	0.99,	0.05,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
LAMPPOST3,	700.0,	6000.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
BIN1,	200.0,	140.0,	0.99,	0.05,	50.0,	100.0,	1.0,	1,	0,	0,	0,	0
DUMP1,	900.0,	900.0,	0.99,	0.05,	50.0,	0.05,	1.0,	1,	0,	0,	0,	0
ROADWORKBARRIER1,	30.0,	50.0,	0.99,	0.04,	50.0,	0.05,	1.0,	0,	0,	0,	0,	0
CARDBOARDBOX,	10.0,	10.0,	0.99,	0.03,	50.0,	0.05,	2.5,	3,	2,	0,	0,	2
STREETLAMP2,	600.0,	4000.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
STREETLAMP1,	600.0,	4000.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
NOPARKINGSIGN1,	30.0,	50.0,	0.99,	0.05,	50.0,	100.0,	1.0,	0,	1,	0,	0,	0
PHONESIGN,	30.0,	50.0,	0.99,	0.05,	50.0,	100.0,	1.0,	0,	1,	0,	0,	0
WASTEBIN,	10.0,	10.0,	0.97,	0.1,	120.0,	0.05,	1.0,	1,	0,	0,	0,	0
TRAFFICCONE,	25.0,	50.0,	0.99,	0.03,	50.0,	10.0,	2.0,	3,	2,	0,	0,	1
INFO,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
HEALTH,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
ADRENALINE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
BODYARMOUR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PETROLPUMP,	250.0,	350.0,	0.99,	0.05,	50.0,	120.0,	1.0,	0,	0,	0,	0,	0
BRIBE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
BONUS,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
FAKETARGET,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
SMASHBAR,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	3,	0,	0,	0,	4
CAMERAPICKUP,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
KILLFRENZY,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PARKINGMETERG,	30.0,	50.0,	0.99,	0.05,	50.0,	100.0,	1.0,	0,	1,	0,	0,	0
GUNBOX,	20.0,	20.0,	0.99,	0.03,	50.0,	0.05,	99.9,	0,	2,	0,	0,	0
PROPERTY_FSALE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
CLOTHESP,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
PICKUPSAVE,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
POSTBOX1,	200.0,	150.0,	0.99,	0.03,	50.0,	100.0,	1.0,	1,	0,	0,	0,	0
PARKBENCH1,	50.0,	100.0,	0.99,	0.05,	50.0,	5.0,	1.0,	1,	0,	0,	0,	0
PAPERMACHN01,	50.0,	50.0,	0.99,	0.04,	50.0,	0.05,	1.0,	1,	0,	0,	0,	0
LAMPPOST2,	1250.0,	12500.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
BARRIERM,	30.0,	50.0,	0.99,	0.04,	50.0,	0.05,	0.5,	3,	4,	0,	0,	1
NEWSTANDNEW1,	50.0,	100.0,	0.99,	0.05,	50.0,	1000.0,	2.0,	3,	1,	0,	0,	5
NEWSTANDNEW4,	50.0,	100.0,	0.99,	0.05,	50.0,	1000.0,	2.0,	3,	1,	0,	0,	5
NEWSTANDNEW3,	50.0,	100.0,	0.99,	0.05,	50.0,	1000.0,	2.0,	3,	1,	0,	0,	5
NEWSTANDNEW5,	50.0,	100.0,	0.99,	0.05,	50.0,	1000.0,	2.0,	3,	1,	0,	0,	5
NEWSTANDNEW2,	50.0,	100.0,	0.99,	0.05,	50.0,	1000.0,	2.0,	3,	1,	0,	0,	5
LAMPPOST1,	600.0,	4000.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
DOUBLESTREETLGHT1,	700.0,	7000.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
MTRAFFIC1,	1500.0,	12000.0,	0.99,	0.05,	50.0,	280.0,	1.0,	1,	1,	0,	6,	6
MLAMPPOST,	600.0,	4000.0,	0.99,	0.05,	50.0,	240.0,	1.0,	1,	1,	0,	0,	0
MTRAFFIC2,	1500.0,	12000.0,	0.99,	0.05,	50.0,	280.0,	1.0,	1,	1,	0,	6,	6
PARKINGMETER,	60.0,	100.0,	0.99,	0.05,	50.0,	100.0,	1.0,	0,	2,	0,	0,	0
BOUY,	1250.0,	2500.0,	0.99,	0.05,	35.75,	0.0,	1.0,	0,	0,	0,	0,	0
TRASHCAN,	99999.0,	99999.0,	0.99,	0.1,	50.0,	0.0,	1.0,	0,	0,	0,	0,	0
