# 
HFYST,	HMOST,	HFYBU,	HFYRI,	HMYST,	BFYST,	BMYST,	BMYRI,	WFYSH,	WMOBU,	WMYBU,	WFYBU,	WMORI,	WMYRI,	WFYRI,	WMYCR
HFYST,	HMYST,	HMOST,	HMYRI,	HMORI,	BFYST,	BFOST,	BMYST,	BMOST,	WMYCR,	WFYST,	WMYST,	WMOST,	WFORI,	WFOTR,	WMYJG
HFYST,	HFOST,	HFYPR,	BFYST,	BFOST,	BMYST,	BMOST,	BFYPR,	BMOTR,	WMYCR,	WFYST,	WMYST,	WMOST,	WFYPR,	WMOTR,	WMYPI
HFOST,	HMYST,	HFORI,	HFYRI,	HFOTR,	HMOTR,	BMYCR,	BMOST,	BMYRI,	BFOTR,	BMYBB,	WFOST,	WMYST,	WMOTR,	JFOTO,	JMOTO
BFOTR,	HMOST,	HFYST,	WFOTR,	HMOTR,	BFYST,	BMOST,	WFOTR,	BMOTR,	BMYCR,	HFOTR,	WMOTR,	HFYST,	HMOTR,	WMYCR,	WMOTR
HFYST,	HMOTR,	BMODK,	BMYCR,	BFYST,	BFOST,	JFOTO,	BMYST,	BMOTR,	WFOST,	BFYST,	WMOST,	JMOTO,	BMYBU,	WFOTR,	HMYRI
HFYST,	BMYPI,	HFOST,	BMYCR,	HFYPR,	BMOST,	HMYST,	HMOST,	BFYPR,	HMOTR,	BFYST,	WFYPR,	BFOTR,	WFYPR,	BMOTR,	WMOTR
HMOST,	HFYRI,	HFORI,	HMYRI,	BFOST,	BMOST,	BFYRI,	BFORI,	BMYRI,	WMYST,	WFYRI,	WMYRI,	WMORI,	BMYCR,	WMYBU,	WMYJG
HFYRI,	HFORI,	HMYRI,	BMYCR,	BFYST,	BMYST,	BMOST,	BMYRI,	WFYST,	WMYST,	WFYRI,	WFORI,	WMYRI,	WMORI,	HMOST,	WMYJG
HFOST,	HMYST,	HMOST,	HFOTR,	HMOTR,	BMYCR,	BFOST,	BMOST,	BFOTR,	BMOTR,	WMYCR,	WFOST,	WMOST,	WFOTR,	WMOTR,	WMOTR
